Year,Age,Sex,People
2000,5,Male,-872
2000,5,Female,856
2000,10,Male,-1211
2000,10,Female,1219
2000,15,Male,-1311
2000,15,Female,1180
2000,20,Male,-923
2000,20,Female,850
2000,25,Male,-335
2000,25,Female,305
2000,30,Male,-353
2000,30,Female,343
2000,35,Male,-591
2000,35,Female,695
2000,40,Male,-1026
2000,40,Female,1172
2000,45,Male,-1282
2000,45,Female,1416
2000,50,Male,-1329
2000,50,Female,1531
2000,55,Male,-1195
2000,55,Female,1283
2000,60,Male,-845
2000,60,Female,984
2000,65,Male,-716
2000,65,Female,765
2000,70,Male,-600
2000,70,Female,744
2000,75,Male,-611
2000,75,Female,761
2000,80,Male,-494
2000,80,Female,747
2000,85,Male,-333
2000,85,Female,525
2000,85+,Male,-238
2000,85+,Female,714
2010,5,Male,-736
2010,5,Female,702
2010,10,Male,-1187
2010,10,Female,1155
2010,15,Male,-1385
2010,15,Female,1321
2010,20,Male,-1127
2010,20,Female,1132
2010,25,Male,-442
2010,25,Female,413
2010,30,Male,-344
2010,30,Female,335
2010,35,Male,-395
2010,35,Female,519
2010,40,Male,-743
2010,40,Female,933
2010,45,Male,-1155
2010,45,Female,1292
2010,50,Male,-1416
2010,50,Female,1493
2010,55,Male,-1298
2010,55,Female,1426
2010,60,Male,-1220
2010,60,Female,1333
2010,65,Male,-985
2010,65,Female,1062
2010,70,Male,-668
2010,70,Female,833
2010,75,Male,-551
2010,75,Female,674
2010,80,Male,-488
2010,80,Female,583
2010,85,Male,-394
2010,85,Female,571
2010,85+,Male,-376
2010,85+,Female,713
2020,5,Male,-559
2020,5,Female,537
2020,10,Male,-755
2020,10,Female,703
2020,15,Male,-1397
2020,15,Female,1222
2020,20,Male,-1183
2020,20,Female,1266
2020,25,Male,-395
2020,25,Female,428
2020,30,Male,-384
2020,30,Female,392
2020,35,Male,-512
2020,35,Female,661
2020,40,Male,-838
2020,40,Female,1071
2020,45,Male,-1038
2020,45,Female,1313
2020,50,Male,-1272
2020,50,Female,1523
2020,55,Male,-1384
2020,55,Female,1439
2020,60,Male,-1454
2020,60,Female,1453
2020,65,Male,-1272
2020,65,Female,1328
2020,70,Male,-991
2020,70,Female,1209
2020,75,Male,-839
2020,75,Female,1033
2020,80,Male,-623
2020,80,Female,782
2020,85,Male,-413
2020,85,Female,547
2020,85+,Male,-546
2020,85+,Female,833
2030,5,Male,-671
2030,5,Female,645
2030,10,Male,-943
2030,10,Female,877
2030,15,Male,-1043
2030,15,Female,930
2030,20,Male,-649
2030,20,Female,696
2030,25,Male,-375
2030,25,Female,361
2030,30,Male,-444
2030,30,Female,445
2030,35,Male,-578
2030,35,Female,816
2030,40,Male,-1033
2030,40,Female,1385
2030,45,Male,-1344
2030,45,Female,1669
2030,50,Male,-1318
2030,50,Female,1635
2030,55,Male,-1155
2030,55,Female,1363
2030,60,Male,-1250
2030,60,Female,1403
2030,65,Male,-1306
2030,65,Female,1299
2030,70,Male,-1139
2030,70,Female,1294
2030,75,Male,-1062
2030,75,Female,1264
2030,80,Male,-898
2030,80,Female,1096
2030,85,Male,-603
2030,85,Female,819
2030,85+,Male,-665
2030,85+,Female,950
